time,open,high,low,close,Dummy,DynamicIndex,trigger,Plot,Distance,Highest High,Lowest Low,Plot
1693774800,1.2586,1.25939,1.2586,1.25939,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1693775100,1.25939,1.25939,1.25909,1.25914,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1693775400,1.25914,1.25914,1.25899,1.25902,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1693775700,1.25902,1.25913,1.25902,1.25904,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1693776000,1.25904,1.2592,1.25889,1.25901,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1693776300,1.25901,1.25901,1.25897,1.25899,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1693776600,1.25899,1.25907,1.25895,1.25905,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1693776900,1.25905,1.25905,1.25897,1.25901,NaN,NaN,NaN,NaN,-0.005658888177388645,NaN,NaN,NaN
1693777200,1.25901,1.2590999999999999,1.25895,1.25907,NaN,NaN,NaN,NaN,0.0022834835633877616,NaN,NaN,-0.20306870585218845
1693777500,1.25907,1.25909,1.25897,1.25898,NaN,NaN,NaN,NaN,-0.0032763545492177104,NaN,NaN,-0.1015375786928492
1693777800,1.25898,1.25903,1.25841,1.25903,NaN,NaN,NaN,NaN,0.0005957002357114473,NaN,NaN,0.00634619947812439
1693778100,1.25903,1.25903,1.25879,1.2589,NaN,NaN,NaN,NaN,-0.008339919221926978,NaN,NaN,-0.08884670448703115
1693778400,1.2589,1.25926,1.25889,1.25916,NaN,NaN,NaN,NaN,0.010821876870865136,NaN,NaN,0.0951942208340237
1693778700,1.25916,1.25935,1.25916,1.25919,NaN,NaN,NaN,NaN,0.01121878719946163,NaN,NaN,0.12692373753841227
1693779000,1.25919,1.2593,1.25918,1.25928,NaN,NaN,NaN,NaN,0.016083203774182552,NaN,NaN,0.145959399904205
1693779300,1.25928,1.25929,1.25894,1.25894,NaN,NaN,NaN,NaN,-0.01022581173585722,NaN,NaN,-0.04442141170874806
1693779600,1.25894,1.25902,1.25888,1.25896,NaN,NaN,NaN,NaN,-0.0075453415458384444,NaN,NaN,-0.0698055606570422
1693779900,1.25896,1.25909,1.25896,1.25909,NaN,NaN,NaN,NaN,0.001687755335033266,NaN,NaN,0.06980632299695455
1693780200,1.25909,1.25912,1.259,1.25912,NaN,NaN,NaN,NaN,0.0031769228325299386,NaN,NaN,0.057113640537989896
1693780500,1.25912,1.25914,1.25898,1.25898,NaN,NaN,NaN,NaN,-0.008736468401804202,NaN,NaN,0.05076722686439205
1693780800,1.25898,1.25908,1.25892,1.25895,NaN,NaN,NaN,NaN,-0.009034490906465744,NaN,NaN,-0.1332629121026496
1693781100,1.25895,1.25899,1.25886,1.25888,-12.931254164164931,-12.931254164164931,NaN,NaN,-0.01151684835490032,NaN,NaN,-0.19672554308751888
1693781400,1.25888,1.25897,1.25888,1.2589,-20.106352035478814,-20.106352035478814,NaN,NaN,-0.006155789122535919,NaN,NaN,-0.24115486189811908
1693781700,1.2589,1.2589,1.25878,1.25883,-27.75684907504261,-27.75684907504261,-20.29651170277878,NaN,-0.010623816611103027,NaN,NaN,-0.06981062012586509
1693782000,1.25883,1.25896,1.25864,1.25866,-39.759820883765826,-39.759820883765826,-27.674669178116698,NaN,-0.021148975168333684,NaN,NaN,-0.1903946797521856
1693782300,1.25866,1.25887,1.25863,1.25886,-31.00458248080442,-31.00458248080442,-29.723903924896774,NaN,-0.002978796923491595,NaN,NaN,-0.14597360250462602
1693782600,1.25886,1.25897,1.25885,1.25896,-27.974666636372262,-17.088491435467294,-27.974666636372262,NaN,0.006553457345928048,NaN,NaN,-0.10154917298621866
1693782900,1.25896,1.25899,1.25889,1.25891,-23.41457119715598,-10.784732073089287,-23.41457119715598,NaN,0.0032767514484725022,NaN,NaN,-0.044428469013642106
1693783200,1.25891,1.2589299999999999,1.25882,1.25885,-17.922351444261842,-9.365489711612504,-17.922351444261842,NaN,-0.0004964824220386906,NaN,NaN,-0.06346968260179132
1693783500,1.25885,1.25886,1.25874,1.25874,-9.40242568484566,-9.264326803510315,-9.40242568484566,NaN,-0.00784453131904593,NaN,NaN,-0.08885843796702218
1693783800,1.25874,1.25888,1.25874,1.25886,-7.955293694809049,-7.955293694809049,-6.281808986498614,NaN,0.0020852634432381883,NaN,NaN,-0.025388478070594876
1693784100,1.25886,1.25899,1.25877,1.25897,-5.20978033873218,-2.8837754230535193,-5.20978033873218,NaN,0.009433203486092834,NaN,NaN,0.08886002619489916
1693784400,1.25897,1.25899,1.25889,1.25899,-3.379894001603585,0.8923417759390935,-3.379894001603585,NaN,0.007744902761741894,NaN,NaN,0.20945286426808027
