time,open,high,low,close,Dummy,DynamicIndex,trigger,Plot,Distance,Highest High,Lowest Low,Plot
1641164400,0.6846,0.6846,0.68372,0.68459,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1641166200,0.68459,0.68459,0.68389,0.68389,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1641168000,0.68389,0.6848299999999999,0.68389,0.68474,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1641169800,0.68474,0.6848,0.68449,0.68476,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1641171600,0.68476,0.68565,0.68469,0.6854,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1641173400,0.6854,0.68543,0.68355,0.6837799999999999,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1641175200,0.6837799999999999,0.6837799999999999,0.68308,0.68348,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1641177000,0.68348,0.68355,0.68308,0.68321,NaN,NaN,NaN,NaN,-0.14925509467741696,NaN,NaN,NaN
1641178800,0.68321,0.68353,0.68269,0.6827799999999999,NaN,NaN,NaN,NaN,-0.17909225809753315,NaN,NaN,-2.1135982900516366
1641180600,0.6827799999999999,0.68325,0.6823,0.68312,NaN,NaN,NaN,NaN,-0.11532971321101021,NaN,NaN,-0.8994524893825739
1641182400,0.68312,0.6834,0.68288,0.68338,NaN,NaN,NaN,NaN,-0.05246887060298444,NaN,NaN,-1.5888669358302878
1641184200,0.68338,0.6834,0.68284,0.68309,NaN,NaN,NaN,NaN,-0.06437171740815999,NaN,NaN,-1.9515202261095645
1641186000,0.68309,0.68313,0.68279,0.68285,NaN,NaN,NaN,NaN,-0.05287530028230356,NaN,NaN,-2.98077626439252
1641187800,0.68285,0.68306,0.68277,0.68296,NaN,NaN,NaN,NaN,-0.021775449370238602,NaN,NaN,-0.9589713284142121
1641189600,0.68296,0.68315,0.6828299999999999,0.68296,NaN,NaN,NaN,NaN,-0.01226129365797404,NaN,NaN,-0.608219408695736
1641191400,0.68296,0.68358,0.68296,0.68353,NaN,NaN,NaN,NaN,0.06532873897234144,NaN,NaN,0.37432448507179183
1641193200,0.68353,0.68353,0.68311,0.68311,NaN,NaN,NaN,NaN,-0.0021957913998151505,NaN,NaN,0.3859995205565251
1641195000,0.68311,0.68362,0.68309,0.68353,NaN,NaN,NaN,NaN,0.05178019581331195,NaN,NaN,0.47954620311021023
1641196800,0.68353,0.68435,0.68336,0.68433,NaN,NaN,NaN,NaN,0.151471911838958,NaN,NaN,1.1110602864200272
1641198600,0.68433,0.68459,0.68401,0.68408,NaN,NaN,NaN,NaN,0.0967561981581655,NaN,NaN,1.1576405505672656
1641200400,0.68408,0.6842,0.68357,0.68362,NaN,NaN,NaN,NaN,0.015361769675853596,NaN,NaN,0.9002240573599087
1641202200,0.68362,0.68375,0.68298,0.68315,8.90569080811894,8.90569080811894,NaN,NaN,-0.05687314727951396,NaN,NaN,0.22210192899926123
1641204000,0.68315,0.68353,0.68309,0.68338,1.9329226253307663,1.9329226253307663,NaN,NaN,-0.0309029701594494,NaN,NaN,0.4909451000401505
1641205800,0.68338,0.6834,0.68251,0.68252,-14.156683225368889,-14.156683225368889,-1.7138124418338259,NaN,-0.13826604142129947,NaN,NaN,-1.1805154030277072
1641207600,0.68252,0.68287,0.68216,0.68281,-22.038316224044895,-22.038316224044895,-12.158147068556042,NaN,-0.09035340251892827,NaN,NaN,-0.3507129114148508
