time,open,high,low,close,ParabolicSAR,MA Slope,MA Slope,MA Slope,MA Slope
1692565500,1.08659,1.08698,1.08659,1.08698,NaN,NaN,NaN,NaN,NaN
1692565800,1.08698,1.08698,1.08686,1.08687,NaN,NaN,NaN,NaN,NaN
1692566100,1.08687,1.08694,1.0868,1.08686,NaN,NaN,NaN,NaN,NaN
1692566400,1.08686,1.08687,1.08679,1.08686,NaN,NaN,NaN,NaN,NaN
1692566700,1.08686,1.0872,1.08681,1.0872,NaN,NaN,NaN,NaN,NaN
1692567000,1.0872,1.0872,1.08714,1.08714,NaN,NaN,NaN,NaN,NaN
1692567300,1.08714,1.08715,1.08714,1.08715,NaN,NaN,NaN,NaN,NaN
1692567600,1.08715,1.08726,1.08701,1.08706,NaN,NaN,NaN,NaN,NaN
1692567900,1.08706,1.0872,1.087,1.08711,NaN,NaN,NaN,NaN,NaN
1692568200,1.08711,1.08718,1.08704,1.08718,NaN,NaN,NaN,NaN,NaN
1692568500,1.08718,1.08732,1.08712,1.08722,NaN,NaN,NaN,NaN,NaN
1692568800,1.08722,1.08771,1.08711,1.0876,NaN,NaN,NaN,NaN,NaN
1692569100,1.0876,1.08766,1.08742,1.0876,NaN,NaN,NaN,NaN,NaN
1692569400,1.0876,1.08777,1.0876,1.08776,NaN,NaN,NaN,NaN,NaN
1692569700,1.08776,1.08776,1.0876,1.08773,NaN,NaN,NaN,NaN,NaN
1692570000,1.08773,1.08785,1.08773,1.08776,NaN,NaN,NaN,NaN,NaN
1692570300,1.08776,1.08778,1.08771,1.08775,NaN,NaN,NaN,NaN,NaN
1692570600,1.08775,1.08779,1.08764,1.08764,NaN,NaN,NaN,NaN,NaN
1692570900,1.08764,1.08774,1.08764,1.08774,NaN,NaN,NaN,NaN,NaN
1692571200,1.08774,1.0877999999999999,1.08765,1.08768,NaN,NaN,NaN,NaN,NaN
1692571500,1.08768,1.0877,1.08752,1.08754,NaN,NaN,NaN,NaN,NaN
1692571800,1.08754,1.08755,1.08739,1.0874,NaN,NaN,NaN,NaN,NaN
1692572100,1.0874,1.08743,1.08732,1.08741,NaN,NaN,NaN,NaN,NaN
1692572400,1.08741,1.08743,1.08726,1.08732,NaN,NaN,NaN,NaN,NaN
1692572700,1.08732,1.08733,1.0872,1.0872,NaN,NaN,NaN,NaN,NaN
1692573000,1.0872,1.08732,1.0872,1.08726,NaN,NaN,NaN,NaN,NaN
1692573300,1.08726,1.08729,1.08718,1.08721,NaN,NaN,NaN,NaN,NaN
