time,open,high,low,close,Dummy,DynamicIndex,trigger,Plot,Distance,Highest High,Lowest Low,Plot
1641162600,0.72707,0.72707,0.72607,0.72653,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1641164400,0.72653,0.72752,0.72653,0.72745,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1641166200,0.72745,0.72745,0.72675,0.72675,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1641168000,0.72675,0.72737,0.7266,0.72717,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1641169800,0.72717,0.72717,0.7265199999999999,0.72654,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1641171600,0.72654,0.7277,0.72648,0.72732,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1641173400,0.72732,0.72732,0.72534,0.7255699999999999,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1641175200,0.7255699999999999,0.7255699999999999,0.7245699999999999,0.72526,NaN,NaN,NaN,NaN,-0.18081440459416576,NaN,NaN,NaN
1641177000,0.72526,0.72564,0.72488,0.72523,NaN,NaN,NaN,NaN,-0.1626144969533321,NaN,NaN,-1.4295864666187263
1641178800,0.72523,0.72548,0.72446,0.72458,NaN,NaN,NaN,NaN,-0.20280902551812544,NaN,NaN,-3.156793070040924
1641180600,0.72458,0.72516,0.72395,0.72486,NaN,NaN,NaN,NaN,-0.13174822139901,NaN,NaN,-2.0798909169795747
1641182400,0.72486,0.72537,0.72464,0.72533,NaN,NaN,NaN,NaN,-0.03531627011950101,NaN,NaN,-2.0255264331705116
1641184200,0.72533,0.72534,0.72471,0.72493,NaN,NaN,NaN,NaN,-0.06272531138636493,NaN,NaN,-1.7728974329382157
1641186000,0.72493,0.725,0.72463,0.72468,NaN,NaN,NaN,NaN,-0.05172021432857014,NaN,NaN,-2.907917864306025
1641187800,0.72468,0.72507,0.72455,0.7245699999999999,NaN,NaN,NaN,NaN,-0.04965996716926296,NaN,NaN,-1.1019853666267487
1641189600,0.7245699999999999,0.72495,0.72451,0.72462,NaN,NaN,NaN,NaN,-0.031730702904042556,NaN,NaN,-0.7053922447691658
1641191400,0.72462,0.72537,0.72462,0.7253,NaN,NaN,NaN,NaN,0.06087392888613797,NaN,NaN,0.0771607918879928
1641193200,0.7253,0.72539,0.72503,0.72509,NaN,NaN,NaN,NaN,0.023105918218842305,NaN,NaN,0.5621646976051344
1641195000,0.72509,0.72575,0.72507,0.72568,NaN,NaN,NaN,NaN,0.09034171235474103,NaN,NaN,0.903793164096899
1641196800,0.72568,0.7263499999999999,0.72555,0.7261799999999999,NaN,NaN,NaN,NaN,0.14462898957946327,NaN,NaN,0.936726319781851
1641198600,0.7261799999999999,0.72634,0.72581,0.72608,NaN,NaN,NaN,NaN,0.1109923821998476,NaN,NaN,1.2671499125158205
1641200400,0.72608,0.72619,0.72568,0.72573,21.82517124165709,21.82517124165709,NaN,NaN,0.04463016413217657,NaN,NaN,1.1567336527516654
