time,open,high,low,close,Dummy,DynamicIndex,trigger,Plot,Distance,Highest High,Lowest Low,Plot
1641160800,1.35235,1.35263,1.35194,1.3525099999999999,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1641162600,1.3525099999999999,1.35353,1.35239,1.35292,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1641164400,1.35292,1.35341,1.3523,1.35235,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1641166200,1.35235,1.35246,1.35202,1.35212,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1641168000,1.35212,1.35252,1.35201,1.35233,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1641169800,1.35233,1.35249,1.35168,1.3517,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1641171600,1.3517,1.35295,1.35155,1.35256,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1641173400,1.35256,1.35257,1.35152,1.35176,NaN,NaN,NaN,NaN,-0.03854597555055996,NaN,NaN,NaN
1641175200,1.35176,1.35177,1.35066,1.35104,NaN,NaN,NaN,NaN,-0.07821181534615171,NaN,NaN,-0.8685545259165087
1641177000,1.35104,1.35123,1.35036,1.35042,NaN,NaN,NaN,NaN,-0.10097759628935522,NaN,NaN,-1.4773342898715536
1641178800,1.35042,1.35064,1.34981,1.34994,NaN,NaN,NaN,NaN,-0.114226308677404,NaN,NaN,-1.4244794845340831
1641180600,1.34994,1.35017,1.3495,1.34992,NaN,NaN,NaN,NaN,-0.09537756471750489,NaN,NaN,-1.3006445693484374
1641182400,1.34992,1.35054,1.34965,1.35052,NaN,NaN,NaN,NaN,-0.03423434426426933,NaN,NaN,-1.0702935427254927
1641184200,1.35052,1.35053,1.3495,1.34981,NaN,NaN,NaN,NaN,-0.0693135368689612,NaN,NaN,-1.1177864998258842
1641186000,1.34981,1.35006,1.34964,1.34967,NaN,NaN,NaN,NaN,-0.05294786301684491,NaN,NaN,-1.7095068744400814
1641187800,1.34967,1.35003,1.34951,1.34983,NaN,NaN,NaN,NaN,-0.0232382662957104,NaN,NaN,-1.1419484073059256
1641189600,1.34983,1.35033,1.34974,1.35004,NaN,NaN,NaN,NaN,0.0015740522122275455,NaN,NaN,-0.591788837299404
1641191400,1.35004,1.35077,1.35002,1.35054,NaN,NaN,NaN,NaN,0.03749906252343175,NaN,NaN,0.07102123581663448
1641193200,1.35054,1.35067,1.34966,1.35006,NaN,NaN,NaN,NaN,0.0008333032418122785,NaN,NaN,0.07102044671151972
1641195000,1.35006,1.35061,1.34964,1.35055,NaN,NaN,NaN,NaN,0.031293340814091276,NaN,NaN,0.3728532025227937
1641196800,1.35055,1.35144,1.35029,1.35123,NaN,NaN,NaN,NaN,0.07508056579824257,NaN,NaN,0.42017513160780245
1641198600,1.35123,1.3523,1.35111,1.3522399999999999,12.833982527785807,12.833982527785807,NaN,NaN,0.1273583508574269,NaN,NaN,1.4379696585641748
1641200400,1.3522399999999999,1.3528,1.3517,1.35172,18.173553285630106,18.173553285630106,NaN,NaN,0.06986723374798741,NaN,NaN,1.2128291324826292
1641202200,1.35172,1.35217,1.3512899999999999,1.35169,18.010196220796498,23.10473138139038,18.010196220796498,NaN,0.05042528407014141,NaN,NaN,1.1002118226457498
1641204000,1.35169,1.35245,1.35167,1.35188,24.437980595325165,25.63022219987242,24.437980595325165,NaN,0.04745645430904987,NaN,NaN,1.0881942844557417
1641205800,1.35188,1.35188,1.35098,1.35111,19.17390583818122,19.17390583818122,24.76794526214643,NaN,-0.014800452893856921,NaN,NaN,0.3370462843814908
1641207600,1.35111,1.35221,1.35101,1.35152,11.019210443780288,11.019210443780288,19.05737021296978,NaN,0.0020347874664542447,NaN,NaN,0.8632660159399664
1641209400,1.35152,1.35179,1.35082,1.35104,2.449696748819969,2.449696748819969,13.130782015046828,NaN,-0.03801180678164597,NaN,NaN,0.2896871421785846
1641211200,1.35104,1.35123,1.35022,1.35062,-4.743347028181985,-4.743347028181985,5.136321958579908,NaN,-0.0634490770286725,NaN,NaN,-0.36061458894993964
1641213000,1.35062,1.35075,1.3500699999999999,1.35057,-8.803411696906942,-8.803411696906942,-3.0675159182173632,NaN,-0.051710660814156484,NaN,NaN,-0.9873120344209659
1641214800,1.35057,1.35069,1.34906,1.35002,-15.973433903356522,-15.973433903356522,-10.239725035476587,NaN,-0.07669924919856547,NaN,NaN,-1.005203443060215
1641216600,1.35002,1.35009,1.34833,1.3486799999999999,-35.4459681632361,-35.4459681632361,-21.796328529975593,NaN,-0.14807356294608817,NaN,NaN,-1.780081325260297
1641218400,1.3486799999999999,1.3492,1.34687,1.34734,-53.38846235759491,-53.38846235759491,-34.83855645113827,NaN,-0.20535325759892514,NaN,NaN,-2.6856546332209894
1641220200,1.34734,1.34867,1.34549,1.34603,-65.13709135961795,-65.13709135961795,-47.828422362429684,NaN,-0.25546924643056645,NaN,NaN,-3.0063568776683742
1641222000,1.34603,1.34647,1.34367,1.3441,-73.00331378503577,-73.00331378503577,-61.42963433139401,NaN,-0.3299840569500623,NaN,NaN,-4.393241087754192
